data_id,"capid","sku","payment_type",term,annual_mileage,custom_cash_deposit_minimum,custom_cash_deposit_maximum,manufacture_deposit,payment_amount,optional_final_payment,finance_facility_fee,purchase_fee,representative_apr,interest_rate,mileage_over_term_of_contract,excess_mileage_charge,price_of_the_car_for_validation,"creation_time","update_time"
1,"49670","0","hp",12,0,150.00,11775.00,0.00,1226.93,0.00,0.00,0.00,5.90,3.05,0,0.00,14775.00,NULL,NULL
2,"49670","0","hp",24,0,150.00,11775.00,750.00,597.89,0.00,0.00,0.00,5.90,3.05,0,0.00,14775.00,NULL,NULL
3,"49670","0","hp",36,0,150.00,11775.00,750.00,409.90,0.00,0.00,0.00,5.90,3.05,0,0.00,14775.00,NULL,NULL
4,"49670","0","hp",42,0,150.00,11775.00,0.00,376.01,0.00,0.00,0.00,5.90,2.99,0,0.00,14775.00,NULL,NULL
5,"49670","0","hp",48,0,150.00,11775.00,0.00,333.59,0.00,0.00,0.00,5.90,2.99,0,0.00,14775.00,NULL,NULL
6,"49670","0","hp",60,0,150.00,11775.00,0.00,274.29,0.00,0.00,0.00,5.90,2.99,0,0.00,14775.00,NULL,NULL
7,"49670","0","pch",24,0,7525.00,11775.00,0.00,594.79,0.00,0.00,0.00,0.00,0.00,0,0.00,14775.00,NULL,NULL
8,"49670","0","pch",36,0,7525.00,11775.00,0.00,396.53,0.00,0.00,0.00,0.00,0.00,0,0.00,14775.00,NULL,NULL
9,"49670","0","pcp",24,6000,150.00,6525.00,750.00,359.80,6069.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
10,"49670","0","pcp",24,7000,150.00,6525.00,750.00,361.80,6018.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
11,"49670","0","pcp",24,8000,150.00,6525.00,750.00,363.81,5967.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
12,"49670","0","pcp",24,9000,150.00,6525.00,750.00,365.81,5916.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
13,"49670","0","pcp",24,10000,150.00,6525.00,750.00,367.81,5865.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
14,"49670","0","pcp",24,11000,150.00,6525.00,750.00,369.81,5814.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
15,"49670","0","pcp",24,12000,150.00,6525.00,750.00,371.81,5763.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
16,"49670","0","pcp",24,13000,150.00,6525.00,750.00,373.81,5712.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
17,"49670","0","pcp",24,14000,150.00,6525.00,750.00,375.81,5661.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
18,"49670","0","pcp",24,15000,150.00,6525.00,750.00,377.81,5610.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
19,"49670","0","pcp",24,16000,150.00,6525.00,750.00,380.14,5550.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
20,"49670","0","pcp",24,17000,150.00,6525.00,750.00,382.48,5491.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
21,"49670","0","pcp",24,18000,150.00,6525.00,750.00,384.81,5431.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
22,"49670","0","pcp",24,19000,150.00,6525.00,750.00,387.15,5372.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
23,"49670","0","pcp",24,20000,150.00,6525.00,750.00,389.48,5312.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
24,"49670","0","pcp",24,21000,150.00,6525.00,750.00,392.15,5244.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
25,"49670","0","pcp",24,22000,150.00,6525.00,750.00,394.82,5176.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
26,"49670","0","pcp",24,23000,150.00,6525.00,750.00,397.48,5108.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
27,"49670","0","pcp",24,24000,150.00,6525.00,750.00,400.15,5040.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
28,"49670","0","pcp",24,25000,150.00,6525.00,750.00,402.82,4972.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
29,"49670","0","pcp",24,26000,150.00,6525.00,750.00,405.15,4913.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
30,"49670","0","pcp",24,27000,150.00,6525.00,750.00,407.49,4853.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
31,"49670","0","pcp",24,28000,150.00,6525.00,750.00,409.82,4794.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
32,"49670","0","pcp",24,29000,150.00,6525.00,750.00,412.16,4734.50,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
33,"49670","0","pcp",24,30000,150.00,6525.00,750.00,414.49,4675.00,0.00,0.00,5.90,3.05,0,14.90,14775.00,NULL,NULL
34,"49670","0","pcp",30,6000,150.00,6525.00,750.00,313.21,5556.88,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
35,"49670","0","pcp",30,7000,150.00,6525.00,750.00,314.65,5510.12,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
36,"49670","0","pcp",30,8000,150.00,6525.00,750.00,316.82,5440.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
37,"49670","0","pcp",30,9000,150.00,6525.00,750.00,318.27,5393.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
38,"49670","0","pcp",30,10000,150.00,6525.00,750.00,320.43,5323.13,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
39,"49670","0","pcp",30,11000,150.00,6525.00,750.00,321.88,5276.38,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
40,"49670","0","pcp",30,12000,150.00,6525.00,750.00,324.05,5206.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
41,"49670","0","pcp",30,13000,150.00,6525.00,750.00,325.76,5151.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
42,"49670","0","pcp",30,14000,150.00,6525.00,750.00,328.32,5068.13,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
43,"49670","0","pcp",30,15000,150.00,6525.00,750.00,330.03,5012.88,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
44,"49670","0","pcp",30,16000,150.00,6525.00,750.00,332.59,4930.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
45,"49670","0","pcp",30,17000,150.00,6525.00,750.00,334.56,4866.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
46,"49670","0","pcp",30,18000,150.00,6525.00,750.00,337.52,4770.63,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
47,"49670","0","pcp",30,19000,150.00,6525.00,750.00,339.49,4706.88,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
48,"49670","0","pcp",30,20000,150.00,6525.00,750.00,342.45,4611.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
49,"49670","0","pcp",30,21000,150.00,6525.00,750.00,344.16,4556.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
50,"49670","0","pcp",30,22000,150.00,6525.00,750.00,346.72,4473.13,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
51,"49670","0","pcp",30,23000,150.00,6525.00,750.00,348.43,4417.88,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
52,"49670","0","pcp",30,24000,150.00,6525.00,750.00,351.00,4335.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
53,"49670","0","pcp",30,25000,150.00,6525.00,750.00,352.57,4284.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
54,"49670","0","pcp",30,26000,150.00,6525.00,750.00,354.94,4207.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
55,"49670","0","pcp",30,27000,150.00,6525.00,750.00,356.52,4156.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
56,"49670","0","pcp",30,28000,150.00,6525.00,750.00,358.88,4080.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
57,"49670","0","pcp",30,29000,150.00,6525.00,750.00,360.46,4029.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
58,"49670","0","pcp",30,30000,150.00,6525.00,750.00,362.82,3952.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
59,"49670","0","pcp",36,6000,150.00,6525.00,750.00,283.51,4976.75,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
60,"49670","0","pcp",36,7000,150.00,6525.00,750.00,285.24,4908.75,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
61,"49670","0","pcp",36,8000,150.00,6525.00,750.00,286.86,4845.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
62,"49670","0","pcp",36,9000,150.00,6525.00,750.00,288.47,4781.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
63,"49670","0","pcp",36,10000,150.00,6525.00,750.00,290.09,4717.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
64,"49670","0","pcp",36,11000,150.00,6525.00,750.00,292.04,4641.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
65,"49670","0","pcp",36,12000,150.00,6525.00,750.00,293.98,4564.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
66,"49670","0","pcp",36,13000,150.00,6525.00,750.00,295.92,4488.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
67,"49670","0","pcp",36,14000,150.00,6525.00,750.00,297.86,4411.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
68,"49670","0","pcp",36,15000,150.00,6525.00,750.00,299.81,4335.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
69,"49670","0","pcp",36,16000,150.00,6525.00,750.00,301.75,4258.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
70,"49670","0","pcp",36,17000,150.00,6525.00,750.00,303.69,4182.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
71,"49670","0","pcp",36,18000,150.00,6525.00,750.00,305.64,4105.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
72,"49670","0","pcp",36,19000,150.00,6525.00,750.00,307.58,4029.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
73,"49670","0","pcp",36,20000,150.00,6525.00,750.00,309.52,3952.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
74,"49670","0","pcp",36,21000,150.00,6525.00,750.00,311.46,3876.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
75,"49670","0","pcp",36,22000,150.00,6525.00,750.00,313.41,3799.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
76,"49670","0","pcp",36,23000,150.00,6525.00,750.00,315.35,3723.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
77,"49670","0","pcp",36,24000,150.00,6525.00,750.00,317.08,3655.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
78,"49670","0","pcp",36,25000,150.00,6525.00,750.00,318.70,3591.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
79,"49670","0","pcp",36,26000,150.00,6525.00,750.00,320.32,3527.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
80,"49670","0","pcp",36,27000,150.00,6525.00,750.00,321.93,3463.75,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
81,"49670","0","pcp",36,28000,150.00,6525.00,750.00,323.55,3400.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
82,"49670","0","pcp",36,29000,150.00,6525.00,750.00,325.17,3336.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
83,"49670","0","pcp",36,30000,150.00,6525.00,750.00,326.79,3272.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
84,"49670","0","pcp",42,6000,150.00,6525.00,750.00,255.62,4692.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
85,"49670","0","pcp",42,7000,150.00,6525.00,750.00,257.26,4615.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
86,"49670","0","pcp",42,8000,150.00,6525.00,750.00,259.45,4513.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
87,"49670","0","pcp",42,9000,150.00,6525.00,750.00,261.09,4437.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
88,"49670","0","pcp",42,10000,150.00,6525.00,750.00,263.27,4335.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
89,"49670","0","pcp",42,11000,150.00,6525.00,750.00,264.92,4258.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
90,"49670","0","pcp",42,12000,150.00,6525.00,750.00,267.10,4156.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
91,"49670","0","pcp",42,13000,150.00,6525.00,750.00,268.74,4080.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
92,"49670","0","pcp",42,14000,150.00,6525.00,750.00,270.93,3978.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
93,"49670","0","pcp",42,15000,150.00,6525.00,750.00,272.48,3905.75,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
94,"49670","0","pcp",42,16000,150.00,6525.00,750.00,274.49,3812.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
95,"49670","0","pcp",42,17000,150.00,6525.00,750.00,275.99,3742.12,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
96,"49670","0","pcp",42,18000,150.00,6525.00,750.00,277.86,3655.00,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
97,"49670","0","pcp",42,19000,150.00,6525.00,750.00,279.23,3591.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
98,"49670","0","pcp",42,20000,150.00,6525.00,750.00,281.05,3506.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
99,"49670","0","pcp",42,21000,150.00,6525.00,750.00,282.42,3442.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
100,"49670","0","pcp",42,22000,150.00,6525.00,750.00,284.24,3357.50,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
101,"49670","0","pcp",42,23000,150.00,6525.00,750.00,285.61,3293.75,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
102,"49670","0","pcp",42,24000,150.00,6525.00,750.00,287.25,3217.25,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
103,"49670","0","pcp",42,25000,150.00,6525.00,750.00,288.48,3159.88,0.00,0.00,5.90,3.04,0,14.90,14775.00,NULL,NULL
